fold,family,P_macro,R_macro,F1_macro
1,Users,0.525,0.5247678018575852,0.5244755244755245
1,Message,0.5811688311688312,0.5773993808049536,0.5751376868607396
1,Fusion,0.5811688311688312,0.5773993808049536,0.5751376868607396
2,Users,0.7244582043343653,0.7244582043343653,0.7222222222222222
2,Message,0.5277777777777778,0.5278637770897833,0.5274131274131274
2,Fusion,0.5523809523809524,0.5510835913312693,0.55
3,Users,0.6836363636363636,0.6563467492260062,0.6493506493506493
3,Message,0.38095238095238093,0.38390092879256965,0.38125
3,Fusion,0.6120401337792643,0.6037151702786377,0.6
4,Users,0.6287625418060201,0.6191950464396284,0.60625
4,Message,0.33126934984520123,0.33126934984520123,0.33126934984520123
4,Fusion,0.43143812709030105,0.4365325077399381,0.4285714285714286
5,Users,0.575657894736842,0.575657894736842,0.5714285714285714
5,Message,0.4297385620915033,0.4292763157894737,0.42810457516339867
5,Fusion,0.47619047619047616,0.4769736842105263,0.47500000000000003
