fold,family,P,R,F1
1,MLP-Users,0.7083333333333333,0.6930147058823529,0.6898496240601504
2,MLP-Users,0.8562753036437247,0.84375,0.8423645320197044
3,MLP-Users,0.5357142857142857,0.5352941176470588,0.530791788856305
4,MLP-Users,0.5416666666666667,0.5392156862745098,0.5270935960591133
5,MLP-Users,0.6277056277056277,0.615686274509804,0.611336032388664
