fold,family,P,R,F1
1,BERT (T),0.6508620689655172,0.5643382352941176,0.49782608695652175
2,BERT (T),0.39610389610389607,0.40625,0.3913913913913914
3,BERT (T),0.35416666666666663,0.39019607843137255,0.3552492046659597
4,BERT (T),0.525,0.5235294117647059,0.5195195195195195
5,BERT (T),0.4375,0.4529411764705883,0.4231177094379639
